,road1,road2,road5,road6,road7,road8,road9,road10,road11,road12,road13,road14,road15,road16,road17,road18,road19,road20,road21,road22,road23,road24,road25,road26,road27,road28,road29,road30,road31,road32,road34,road35,road36,road37,road38,road39,road40,road41,road42,road43,road44,road45,road47,road48,road49,road50,road51,road52,road53,road54,road55,road56,road57,road58,road59,road60,road62,road63,road64,road65,road66,road67,road68,road69,road70,road71,road72,road73,road74,road75,road76,road77,road78,road79,road81,road82,road83,road84,road85,road86,road87,road88,road89,road90,road91,road92,road93,road94,road95,road96,road98,road99,road100,road101,road102,road104,road105,road106,road107,road108,road109,road110,road111,road113,road114,road115,road116,road117,road118,road119,road120,road121,road122,road123,road125,road126,road127,road128,road129,road132
road1,1,0.00677252,0.031848969,0.019212606,0.058122914,0.010807045,0.002832204,0.036304416,0.040234907,0.01876842,0.00892425,0.032082065,0.023902466,0.02388387,0.072509379,0.031385149,0.031974411,0.065150081,0.029319526,0.016094436,0.014427701,0.002586178,0.023310978,0.017188196,0.02563307,0.023304809,0.032570765,0.034659585,0.029937946,0.031360835,0.01656083,0.022586221,0.002941248,0.077524039,0.023599182,0.014318885,0.025710617,0.034672894,0.044420234,0.005416861,0.020323646,0.016312355,0.036224762,0.024862033,0.035530178,0.023769466,0.043051281,0.029875406,0.028881549,0.022762319,0.040479965,0.04401428,0.072928795,0.035366803,0.03366823,0.014286932,0.03731286,0.029270393,0.061054421,0.02511181,0.010341191,0.042950316,0.042828366,0.060565761,0.034723503,0.013357766,0.026699046,0.020638368,0.037974068,0.007417566,0.025860211,0.028546548,0.028360345,0.011650645,0.039972652,0.018985806,0.029500706,0.018906261,0.019018211,0.014351482,0.048993348,0.018784463,0.014075104,0.021969499,0.022986021,0.027676291,0.019733948,0.001028964,0.012140356,0.023754223,0.017667663,0.027487215,0.014873494,0.139715216,0.035599828,0.017681349,0.034730935,0.02786139,0.054940863,0.020564733,0.061403543,0.036113114,0.039345296,0.009428462,0.019173499,0.033477594,0.091853834,0.032637043,0.025849281,0.026214323,0.019237715,0.017537077,0.019939859,0.002583554,0.050293881,0.046648441,0.01919268,0.028082028,0.048671577,0.02328656
road2,0.00677252,1,0.036757297,0.071679173,0.030792647,0.00049452,0.424007646,0.043758346,0.069518058,0.012592495,0.038401499,0.174491612,0.195840044,0.034166814,-0.00040168,0.13764343,0.02867841,0.135753041,0.043688294,0.012378634,0.028156426,-0.008840672,0.006151864,0.149807759,0.042672324,0.069941939,0.035588821,0.065610528,0.04260778,0.187459865,0.034679197,0.008614657,0.011206358,0.010174088,0.268032731,0.073769707,0.036601988,0.076592899,0.239317834,-0.005436954,0.214675232,0.16010497,0.108524908,0.047796549,0.130205206,0.061151213,0.101392101,0.080062278,0.028825786,0.110529571,0.103979056,0.066471719,0.031703073,0.050972258,0.045968636,0.033731254,0.434632492,0.095375999,0.170502736,0.179159872,0.134647474,0.18897824,0.030597697,0.13249071,0.018922866,0.003356893,0.164545618,0.055945859,0.043598358,-0.002463098,0.088001258,0.06670533,0.243398968,0.017250762,0.033168501,0.0231803,0.01558033,0.024232488,0.00411468,0.028982043,0.100941964,0.067606329,0.101065206,0.024402789,0.017407901,0.046389496,0.041490573,0.05651248,0.017644548,0.052698975,0.037426736,0.012703552,0.038860585,0.022667604,0.168322976,0.013259776,0.162501227,0.144639659,0.031242954,0.099597705,0.133657733,0.019061435,0.149036702,0.076786844,0.627318571,0.035053129,0.010557508,0.08549937,0.005430013,0.023592729,0.041600801,0.083533314,0.060933484,-0.007482616,0.036945904,0.192976857,0.084956545,0.27925831,0.030690972,0.061843738
road5,0.031848969,0.036757297,1,0.059089828,0.073807346,0.022207071,0.017994247,0.087683776,0.046933265,0.00132294,0.000386443,0.062948929,0.05798719,0.025456875,0.029460931,0.098054721,0.279604053,0.148584134,0.033295656,0.015992729,0.051927426,0.004758465,0.071705288,0.082496027,0.059036032,0.07037683,0.070228222,0.052305083,0.075839155,0.103343655,0.04378937,0.031326384,-0.007443619,0.041267375,0.061499713,0.034972366,0.028563753,0.097160379,0.12156381,0.015563063,0.044764125,0.067911746,0.07930205,0.047842532,0.100645248,0.046840535,0.078586838,0.080695482,0.050543224,0.046100315,0.080561207,0.0755492,0.069249049,0.059811712,0.050245636,0.036752233,0.097917899,0.046851199,0.147664337,0.090359299,0.059176937,0.103221635,0.130814491,0.120527135,0.047500767,0.012936358,0.09048579,0.060389422,0.143483564,0.076277288,0.070648179,0.074455996,0.085343712,0.043977812,0.096574896,0.089389359,0.040216943,0.030960292,0.057977123,0.001492568,0.099399473,0.050197088,0.060630283,0.039636457,0.028427217,0.033570724,0.047325834,0.043262806,-0.001389931,0.062085193,0.041230563,0.048314456,0.045246893,0.043690282,0.06549091,0.040891114,0.064633716,0.081623159,0.090706537,0.069479676,0.119171885,0.075259244,0.073263298,0.038884046,0.055899316,0.054816927,0.033270617,0.078501927,0.005142669,0.120990217,0.042661194,0.030296518,0.034258069,0.004848639,0.088862321,0.138997699,0.059551583,0.069962427,0.054214207,0.03259113
road6,0.019212606,0.071679173,0.059089828,1,0.054917502,0.018537421,0.051988236,0.039621569,0.052177435,-0.002815921,0.008758931,0.153570929,0.153578096,0.028159873,0.018881448,0.091551877,0.048925652,0.113133324,0.030874718,0.004413882,0.077436149,0.005946022,0.039665778,0.09892582,0.045364074,0.532240748,0.07464857,0.057332024,0.047094748,0.090829961,0.082483352,0.021925578,-0.008422878,0.030354325,0.188410951,0.101756275,0.040668781,0.28588006,0.17792945,-0.008313125,0.19662285,0.113314946,0.073986,0.037857768,0.095028726,0.065640387,0.069194963,0.057393162,0.040158616,0.134365536,0.046969188,0.054712729,0.049977793,0.079616697,0.058451948,0.036783653,0.115682091,0.0485178,0.172198248,0.123401987,0.161259159,0.139507221,0.0489036,0.092749149,0.031872252,0.024544591,0.099155369,0.059790874,0.042834105,0.01922043,0.108249478,0.352546451,0.133755384,0.023830297,0.053686846,0.045588107,0.028611194,0.017733939,0.017661637,0.01985909,0.110336149,0.074061219,0.07261729,0.050057102,0.029387184,0.015588011,0.043440816,0.01899323,0.024335401,0.071255084,0.051126761,0.02563535,0.045735873,0.027955306,0.149389793,0.065188508,0.057083384,0.125384917,0.053304957,0.083547562,0.13321424,0.036933977,0.157825239,0.072102032,0.093847951,0.18795231,0.021345451,0.58463251,0.00643939,0.033647433,0.045982477,0.175481965,0.069609885,7.3448E-05,0.147252082,0.111798353,0.04735197,0.096520513,0.056846069,0.024487865
road7,0.058122914,0.030792647,0.073807346,0.054917502,1,0.025765711,0.025513605,0.160258736,0.061038267,0.02100492,0.005868989,0.084858641,0.080362287,0.023822665,0.047860038,0.077685626,0.058156633,0.159218605,0.027028947,0.025528996,0.053150249,0.009583103,0.055674517,0.071949996,0.049307026,0.063244392,0.072887896,0.055422452,0.070561553,0.088590659,0.038177358,0.017926115,-0.02625462,0.056971178,0.06563635,0.055628686,0.033601493,0.096816404,0.124303777,0.01719728,0.05312775,0.059653963,0.075574043,0.043196554,0.120637074,0.053486145,0.083383584,0.078475131,0.04070576,0.052206171,0.078931723,0.244900976,0.429065813,0.062010247,0.091848903,0.027436663,0.100003582,0.0485874,0.141537462,0.085976269,0.054408825,0.10846848,0.06807752,0.149511482,0.062718162,0.008375757,0.076743645,0.060182696,0.093907228,0.01608661,0.083044976,0.066672859,0.087158608,0.03710181,0.13173221,0.038452829,0.042260533,0.040307954,0.024084808,0.009640463,0.09919872,0.042533072,0.065522008,0.039608571,0.031610492,0.019902929,0.038748999,0.039943354,0.001226618,0.055212543,0.037793829,0.047373283,0.027149681,0.044325222,0.101330414,0.030295887,0.064347745,0.085661264,0.278133283,0.077904946,0.128320363,0.043749477,0.069175658,0.048116773,0.049391926,0.063201994,0.046366584,0.076443919,0.014209753,0.046735415,0.043432341,0.031975335,0.03585085,0.00068712,0.094518458,0.130686663,0.051982701,0.08924771,0.058788895,0.033381144
road8,0.010807045,0.00049452,0.022207071,0.018537421,0.025765711,1,0.021036374,0.013271723,0.044696576,0.004764704,0.001881983,0.017168361,0.00943255,0.01299933,0.015634903,0.00333934,0.013395084,0.041883264,0.003142661,-0.002331662,0.006965982,0.014820483,0.02900048,0.006928219,0.049247276,0.025906771,0.026069682,0.00515917,0.02475553,0.021088057,0.018646489,0.003737355,-0.000719942,0.01337449,0.000804716,0.024402899,-0.000419891,0.025288448,0.014270596,0.013746164,-0.00175276,0.007614681,0.034900434,0.038729952,0.007207035,-0.00083329,0.027657031,0.011674352,-0.009769613,-0.000498671,0.046736682,0.008746193,0.011367308,0.016053953,0.033741157,0.00325624,0.043015876,0.037011834,0.013940469,0.001094506,-0.003281674,0.016643847,0.0138812,0.010409351,0.010967077,0.021071771,0.017705182,0.012832277,0.032872411,0.006265296,-0.000143957,0.005141756,0.004702742,0.002122254,0.00782776,0.006962226,-0.000642839,0.024740831,0.00672998,0.005252104,0.02081873,0.010983871,0.021448773,0.013829842,0.005695478,0.000873521,0.027069449,-0.000961018,-0.003000524,0.012359453,-0.015272644,0.022167874,-0.003074673,0.007726933,0.013394908,0.024692114,0.044533838,0.00886681,0.021493585,0.011934771,0.024987454,0.007138832,0.005332549,0.016796756,-0.00512692,0.005788366,0.026827974,0.003355122,0.010079242,0.008374157,-0.014460015,0.007743208,0.038954552,-0.002454215,0.012667492,0.027795454,0.02141811,0.023520145,0.017923312,0.052339606
road9,0.002832204,0.424007646,0.017994247,0.051988236,0.025513605,0.021036374,1,0.023076055,0.040026807,0.006875934,0.012450744,0.058797713,0.06041846,0.016453401,0.00791638,0.067839144,0.016230473,0.056694694,0.016445472,-0.002397033,0.045328468,-0.002850401,0.00658856,0.042864048,0.040441167,0.079353851,0.029089558,0.040363639,0.035848247,0.047298504,0.042365166,0.017702835,0.001488988,0.01094775,0.093518025,0.033008833,0.028980753,0.054739732,0.08567574,-0.003745048,0.074431292,0.054406476,0.050409368,0.034838029,0.06132068,0.038991,0.046250915,0.0398626,0.02688715,0.042837524,0.055329792,0.03418071,0.023177921,0.024585072,0.031104307,0.016234528,0.172467261,0.131781578,0.064116446,0.053986325,0.041801011,0.061062217,0.024729142,0.05440228,0.020278509,0.008942722,0.047059919,0.015156811,0.029734871,0.00119508,0.032129148,0.030462825,0.078553938,0.020140452,0.029061708,0.02557617,0.012514185,0.01826481,0.011586793,0.019185643,0.071044598,0.048225929,0.028814528,0.014419876,0.004969349,0.029922113,0.035159398,0.012422324,0.00093787,0.032534928,0.015011994,-9.36411E-05,0.020635088,0.022491575,0.05620905,0.037721763,0.19442364,0.051084696,0.023588977,0.032270193,0.067620814,0.017194996,0.067526009,0.029222221,0.206603764,0.015977928,0.024696917,0.043702781,0.01417643,-0.000225848,0.020679627,0.036561309,0.136554715,0.001029252,0.027823198,0.047525566,0.025954195,0.12210714,0.008203288,0.024920519
road10,0.036304416,0.043758346,0.087683776,0.039621569,0.160258736,0.013271723,0.023076055,1,0.04985507,0.081993399,0.010245067,0.072352351,0.077868138,0.029046337,0.024309802,0.095222112,0.06095221,0.137309088,0.020324649,0.006782753,0.036291478,0.00179159,0.045967567,0.088925377,0.038860004,0.051678117,0.067808698,0.044026768,0.067063747,0.094794615,0.035428105,0.009286553,-0.005566731,0.029778955,0.096418215,0.055743678,0.016138365,0.087158961,0.14289579,0.008789316,0.098002517,0.074786071,0.058189433,0.033738143,0.12491935,0.032952453,0.062555296,0.074350242,0.045800247,0.06334677,0.062196611,0.21946577,0.20821097,0.053703153,0.073357912,0.036229695,0.106360394,0.035652276,0.147069169,0.100631794,0.064351539,0.109394611,0.063040637,0.15922181,0.038243163,0.000923422,0.081533078,0.067932608,0.119047283,0.017357166,0.080137452,0.068355803,0.11818609,0.036852079,0.34700728,0.034801817,0.040054852,0.025891306,0.02333936,0.011998569,0.096338587,0.046661389,0.063106137,0.034144758,0.017486052,0.025421921,0.024376442,0.052063074,0.003333405,0.053192978,0.046710814,0.027721274,0.049111859,0.026965306,0.085092922,0.022449633,0.072125232,0.090304841,0.108841155,0.062332873,0.116714875,0.039320072,0.068800468,0.046513652,0.071159642,0.064218866,0.017372601,0.05791842,0.002902519,0.050915227,0.048897675,0.041678486,0.019725808,0.003814854,0.094652444,0.133756312,0.03629146,0.065595089,0.042485363,0.035315267
road11,0.040234907,0.069518058,0.046933265,0.052177435,0.061038267,0.044696576,0.040026807,0.04985507,1,0.021043078,0.026281586,0.198162833,0.183282554,0.021371605,0.02844809,0.075960418,0.043093811,0.19070289,0.019279356,0.041828582,0.025930472,-0.008146391,0.072244759,0.139926423,0.048182261,0.062460856,0.095834584,0.072360611,0.064794822,0.195306147,0.039402777,0.020918916,-0.007118159,0.03396776,0.139375642,0.068752231,0.012948652,0.080850385,0.173292815,0.012244619,0.111705581,0.060438314,0.084495882,0.038957667,0.090899966,0.04110476,0.085378543,0.070857871,0.035676165,0.067450961,0.091345542,0.050799562,0.048491732,0.064385363,0.103222667,0.019748688,0.132450216,0.042680241,0.133897444,0.078824727,0.038349325,0.218011082,0.066959414,0.098204035,0.043037533,0.018794427,0.219255944,0.053251115,0.068790239,0.013239855,0.070404078,0.067053864,0.142100174,0.067649526,0.057759841,0.03900527,0.033075525,0.058971313,0.031074716,0.009445733,0.098063325,0.036317545,0.117609678,0.061912762,0.021399053,0.057554025,0.043080382,0.003431439,0.018005922,0.042727102,0.025752175,0.057675321,0.023440737,0.038792529,0.176687972,0.03584933,0.081280535,0.077659022,0.072119826,0.138967234,0.180449743,0.051862972,0.081190348,0.09114141,0.080705231,0.059266445,0.032956713,0.061971272,0.006698899,0.032674802,0.02721197,0.075270628,0.032329097,-0.004494877,0.079068549,0.193953523,0.057087599,0.119851885,0.058086933,0.058352135
road12,0.01876842,0.012592495,0.00132294,-0.002815921,0.02100492,0.004764704,0.006875934,0.081993399,0.021043078,1,0.010494838,0.004511567,0.0134906,-0.009609836,0.005656264,0.009490927,0.005676104,0.007216314,-0.014451072,0.049761904,-0.021099962,0.000603245,0.028615578,0.021588658,0.000216547,-0.009834765,0.041047972,0.004275748,0.021007089,0.014181501,0.001296889,0.02530433,-0.032302282,0.012673341,0.005375149,0.01370498,-0.026692911,-0.000115451,0.007914137,0.019926709,0.007694361,0.006004404,0.001553918,0.02224151,0.01953509,-0.025630768,0.001898348,0.014715768,-0.009592096,0.0114827,-0.006064345,0.022289129,0.035628253,0.020854229,0.066957025,0.001785933,0.008276704,-0.018511085,0.009064748,0.001043257,0.005197948,0.006934717,0.025283194,0.031230871,0.003186742,0.024047343,0.003977785,0.001223672,-0.003454741,0.004205964,0.009432368,0.007405639,0.008715265,-0.010519965,0.016509902,0.020734026,-0.010226812,0.004759334,0.004415822,0.0070605,0.000116669,-0.006329309,0.025992714,0.009036018,-0.014260436,0.012633709,0.004418466,0.017551086,-0.006999834,-0.007088633,-0.003870217,0.019195797,-0.00533335,0.029315277,0.020324123,0.008000708,0.010220225,0.008688418,0.00882991,-0.001629957,0.01537875,0.00329687,0.004796911,0.008363168,0.010220283,0.002539072,0.048513704,-0.003374034,0.006691035,0.000133475,0.003168616,0.023012097,-0.017024155,0.007274165,0.008805299,0.017601022,-0.004096611,0.021305743,0.019523214,-0.00485304
